dt_ts,NEE,ET,LE,H,SWin,SWout,LWin,LWout,TA1,RH1
2025-06-16 15:00:00,8.233916931311777,5.317571911699787,149.86584938263957,20.668083155014585,191.7,45.61333,422.33,460.2133,26.9,61.77
2025-06-16 15:30:00,7.763163524515943,4.9359193057493895,139.08824664926198,13.998432102814016,211.0767,47.68666,400.1433,459.73,27.32,59.77
2025-06-16 16:00:00,2.3971164791734614,2.6468959875799754,74.58359300609338,-7.618109664889091,151.3933,34.17333,412.0367,456.1633,26.87,61.04
2025-06-16 16:30:00,3.51087132374012,1.498955218835893,42.29887413518878,7.752991703858979,176.7366,38.78,431.17,445.81,24.01,81.4
2025-06-16 17:00:00,0.869649175004606,2.0131642773952976,56.931105812009115,5.380826462013122,151.5867,33.94333,396.1766,443.17,23.42,86.0
2025-06-16 17:30:00,-1.7715729737309078,1.3172921315154247,37.2444685782386,3.008661220167266,111.1,24.99667,386.55,443.8533,23.68,85.5
2025-06-16 18:00:00,-1.6506672167639915,0.8813565993878466,24.90946880190076,-1.2856074531697486,95.15667,21.48333,381.0633,441.84,23.56,86.0
2025-06-16 18:30:00,-2.1971785563603876,0.6132035222035996,17.334763340544715,-1.5877838138243887,61.38333,14.06,376.2367,437.6033,23.09,88.1
2025-06-16 19:00:00,-2.423896538520243,0.3869058108819212,10.94055028712,-3.189923966984724,26.98333,6.3,378.88,432.7333,22.81,87.1
2025-06-16 19:30:00,-5.451283073456548,0.19831284733145252,5.608694037676528,-6.379331499223603,2.94,0.6133333,390.43,428.12,22.27,90.4
2025-06-16 20:00:00,-1.8811455793167833,0.12186099567463152,3.448304726853828,-7.0241961500979855,-0.3266667,-0.1433333,391.4567,428.7033,22.01,91.7
2025-06-16 20:30:00,1.688991914822981,0.0752612779680877,2.129827415417362,-7.669060800972367,-0.27,-0.06,390.3433,425.2033,21.75,93.2
